# SIMULACION DE DATOS
# Numero de anos actual
56
# Numero de edades 
3
# Numero de clases de talla 
30
#nper  
10
# MATRIZ DE DATOS HISTORICOS 
#Yr Desemb cv_Desemb CPUEI cv_CPUEI CPUEA cv_CPUEA Bcruc cv_Bcruc Mpdh cv_Mpdh nm_flota nm_cruc
 1985 9841 0.05 42.7627 0.2 0 0.2 0 0.15 0 0.3 56 35
 1986 51192 0.05 65.0383 0.2 0 0.2 0 0.15 0 0.3 56 35
 1987 33627 0.05 86.6285 0.2 0 0.2 0 0.15 0 0.3 56 35
 1988 46441 0.05 56.1332 0.2 0 0.2 0 0.15 0 0.3 56 35
 1989 66976 0.05 56.9232 0.2 0 0.2 0 0.15 0 0.3 56 35
 1990 83730 0.05 75.1583 0.2 0 0.2 0 0.15 0 0.3 56 35
 1991 62028 0.05 51.9128 0.2 0 0.2 0 0.15 0 0.3 56 35
 1992 33103 0.05 41.6624 0.2 0 0.2 0 0.15 0 0.3 56 35
 1993 99139 0.05 56.1099 0.2 0 0.2 0 0.15 0 0.3 56 35
 1994 111778 0.05 75.9088 0.2 0 0.2 0 0.15 0 0.3 56 35
 1995 216424 0.05 93.147 0.2 0 0.2 0 0.15 0 0.3 56 35
 1996 95185 0.05 50.706 0.2 0 0.2 0 0.15 0 0.3 56 35
 1997 75264 0.05 41.0275 0.2 0 0.2 0 0.15 0 0.3 56 35
 1998 99877 0.05 31.7905 0.2 15.8224 0.2 0 0.15 0 0.3 56 35
 1999 61210 0.05 40.6808 0.2 26.5482 0.2 0 0.15 0 0.3 56 35
 2000 52195 0.05 46.4878 0.2 28.2236 0.2 0 0.15 0 0.3 56 35
 2001 17172 0.05 54.8946 0.2 29.3605 0.2 0 0.15 0 0.3 56 35
 2002 12411 0.05 24.2575 0.2 24.4821 0.2 0 0.15 0 0.3 56 35
 2003 77558 0.05 65.5564 0.2 27.9616 0.2 0 0.15 0 0.3 56 35
 2004 83521 0.05 69.7446 0.2 34.5746 0.2 0 0.15 0 0.3 56 35
 2005 78660 0.05 48.8481 0.2 34.3642 0.2 0 0.15 0 0.3 56 35
 2006 72918 0.05 68.8936 0.2 34.2103 0.2 356940 0.15 0 0.3 56 35
 2007 54326 0.05 55.4038 0.2 38.2246 0.2 228270 0.15 0 0.3 56 35
 2008 56845 0.05 55.0583 0.2 38.2032 0.2 217950 0.15 0 0.3 56 35
 2009 37776 0.05 83.3481 0.2 35.0947 0.2 79057 0.15 0 0.3 56 35
 2010 45789 0.05 62.3796 0.2 36.5909 0.2 155000 0.15 0 0.3 56 35
 2011 59704 0.05 0 0.2 39.7799 0.2 276864 0.15 0 0.3 56 35
 2012 42172 0.05 0 0.2 34.5839 0.2 246937 0.15 0 0.3 56 35
 2013 34777 0.05 0 0.2 27.5773 0.2 262084 0.15 0 0.3 56 35
 2014 33964 0.05 0 0.2 30.7742 0.2 107828 0.15 0 0.3 56 35
 2015 20086 0.05 0 0.2 30.3693 0.2 75201 0.15 34547 0.3 56 35
 2016 20811 0.05 0 0.2 26.718 0.2 146467 0.15 43844 0.3 56 35
 2017 16565 0.05 0 0.2 25.0814 0.2 174857 0.15 67228 0.3 56 35
 2018 38841 0.05 0 0.2 31.1376 0.2 181022 0.15 74747 0.3 56 35
 2019 60528 0.05 0 0.2 35.0505 0.2 603178 0.15 126984 0.3 56 35
 2020 91927 0.05 0 0.2 0 0.2 322792 0.15 0 0.3 56 35
# Agrega datos simulados a la matriz de datos historica
 2021  71507  0.05 0  0.2 72.4227  0.2 296181  0.15  211883  0.3  53  33  
 2022  59049.6  0.05 0  0.2 52.142  0.2 233833  0.15  75122  0.3  53  33  
 2023  55090.3  0.05 0  0.2 49.0629  0.2 284023  0.15  233248  0.3  53  33  
 2024  58006.4  0.05 0  0.2 78.0433  0.2 315338  0.15  207452  0.3  53  33  
 2025  67735.2  0.05 0  0.2 27.7758  0.2 177198  0.15  84180.4  0.3  53  33  
 2026  33782.6  0.05 0  0.2 35.8402  0.2 261910  0.15  69893.2  0.3  53  33  
 2027  46058.2  0.05 0  0.2 58.2875  0.2 220704  0.15  91031.9  0.3  53  33  
 2028  45427.4  0.05 0  0.2 56.4602  0.2 277528  0.15  266204  0.3  53  33  
 2029  56941.4  0.05 0  0.2 50.4024  0.2 274701  0.15  127185  0.3  53  33  
 2030  46327.5  0.05 0  0.2 44.5899  0.2 276737  0.15  130393  0.3  53  33  
 2031  47400.8  0.05 0  0.2 67.4002  0.2 312287  0.15  118740  0.3  53  33  
 2032  53695.4  0.05 0  0.2 66.9495  0.2 350524  0.15  117220  0.3  53  33  
 2033  56263.5  0.05 0  0.2 56.6692  0.2 281813  0.15  80873.5  0.3  53  33  
 2034  44932.4  0.05 0  0.2 45.3793  0.2 216302  0.15  117430  0.3  53  33  
 2035  39937.6  0.05 0  0.2 25.5641  0.2 187280  0.15  79635.5  0.3  53  33  
 2036  31541.6  0.05 0  0.2 20.2535  0.2 127636  0.15  41865.5  0.3  53  33  
 2037  25349.2  0.05 0  0.2 19.6356  0.2 99530.3  0.15  38154.4  0.3  53  33  
 2038  23563.7  0.05 0  0.2 50.0364  0.2 331868  0.15  156351  0.3  53  33  
 2039  49097.5  0.05 0  0.2 58.7916  0.2 272596  0.15  203724  0.3  53  33  
 2040  44594.4  0.05 0  0.2 59.3171  0.2 174962  0.15  93166.8  0.3  53  33  
#Estructura de tallas flota historica
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 2 3 13 32 66 100 100 149 204 354 494 868 1119 1307 1125 873 1154 1339 611 86 0
 0 0 0 0 0 0 0 2 7 20 56 99 192 247 435 506 807 782 705 657 670 563 554 705 879 786 747 460 122 0
 0 0 0 0 0 0 0 0 0 0 109 177 163 55 60 128 295 354 647 1007 1848 2409 1680 694 200 116 47 11 1 0
 0 0 0 0 0 0 1 5 34 54 133 283 577 808 1207 1499 1374 1125 934 535 248 272 416 354 116 21 3 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 2 8 39 180 463 1003 1276 1384 1422 1491 1189 861 440 179 53 8 1 0 0
 0 0 0 0 0 0 1 6 18 33 28 70 106 186 267 488 623 976 1327 1499 1373 905 483 386 543 475 178 29 1 0
 0 0 0 0 0 1 14 39 71 99 177 201 344 554 603 571 942 944 1032 1125 928 475 448 486 596 278 66 5 1 0
 0 0 0 0 0 0 3 12 27 92 235 453 799 1145 1528 1567 1670 1407 782 261 17 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 13 81 231 395 586 826 1112 1268 1441 1508 1405 815 248 47 9 7 4 2 0 0 0 0
 0 0 0 0 0 0 0 0 17 69 149 202 300 414 484 602 713 921 1170 1638 1575 1135 449 142 18 1 0 0 0 0
 0 0 0 0 0 1 7 34 53 96 143 240 348 518 702 896 1145 1282 1196 1011 721 539 468 372 173 50 5 0 0 0
 0 0 0 0 0 1 9 33 67 112 164 250 346 616 818 1158 1043 1124 929 1031 854 767 406 198 56 14 4 0 0 0
 0 0 0 2 3 4 9 16 56 133 240 253 291 295 428 428 557 599 899 1027 1456 1541 1199 428 128 9 0 0 0 0
 0 0 0 0 1 5 25 57 93 172 239 327 299 392 502 738 915 1071 1009 960 755 746 684 644 262 93 10 0 0 0
 0 0 0 0 0 0 1 3 9 67 148 177 256 510 681 623 1090 1120 1580 1273 784 570 650 383 64 10 1 0 0 0
 0 2 1 6 8 13 43 43 71 86 76 81 116 131 181 272 382 514 596 732 1056 2098 2120 1140 187 46 0 0 0 0
 0 0 0 3 0 5 60 100 500 900 1000 1000 1000 800 600 800 700 800 1000 2000 2000 2000 900 600 400 100 7 0 0 0
 0 0 0 0 0 0 0 0 0 4 4 101 71 196 245 470 710 968 1600 2740 3440 3510 3220 3020 2120 606 143 5 1 0
 0 0 0 0 0 0 0 0 0 1 6 21 32 175 270 662 1198 956 706 495 268 414 1000 1682 1493 568 41 3 0 0
 0 0 0 0 0 0 0 0 0 0 4 1 8 25 175 305 463 617 767 829 692 857 880 962 371 86 5 0 0 0
 0 0 0 0 0 0 1 2 5 5 17 45 88 231 328 478 635 879 1116 1461 1321 910 552 605 662 426 97 10 0 0
 0 0 0 0 0 0 0.503 1.007 1.51 3.487 18.449 33.093 142.124 336.756 990.206 2089.23 2889.54 3078.77 2817.28 1449.82 519.892 282.297 144.209 77.315 24.953 1.896 0 0 0 0
 0 0 0 0 7e-05 7e-05 0.73608 7.42243 23.2584 37.4404 116.712 121.029 269.088 355.901 554.35 619.335 774.493 897.305 1129.62 908.852 1253.62 1108.29 696.468 226.468 73.6404 8.96384 0.14983 2e-05 1e-05 0
 0 0.0007 0.0007 0.0007 0.01067 3.65781 10.6944 37.6119 102.215 150.745 368.33 521.971 855.516 1154.06 1319.91 1354.78 1407.9 1711.86 2145.63 2538.93 2794.1 2911.32 2158.38 1176.31 510.994 358.989 199.528 18.2715 4.50693 0
 0 0 0 0.0004 0.00079 0.15644 3.02966 10.3713 34.5161 120.341 502.537 1135.35 1815.66 2257.12 3275.01 4011.97 4958.86 4596.76 3928.6 2627.82 1807.61 1524.7 1607.7 1899.43 1407.35 413.89 39.1041 2.33382 0 0
 0 0 0 0.00255 0.14612 1.40716 12.6099 29.7689 56.5262 171.319 537.188 1076.25 1673.58 2152.1 3137.64 3851.96 4352.03 4322.57 3345.42 2742.72 2132.72 1980.93 1336.8 546.262 169.365 37.3688 3.60741 0 0 0
# flota simulados 
