#SIMULACION DE DATOS
#Numero de anos actual
44
#Numero de edades
5
#Numero de tallas
36
#Datos observados
#Yr Reclas cv_reclas Pelaces cv_pelaces Mpdh cv_mpdh Desemb cv_desemb  
 1997 0 0.3 0 0.3 0 100 350755 0.01
 1998 0 0.3 0 0.3 0 100 77701 0.01
 1999 0 0.3 0 0.3 0 100 442110 0.01
 2000 370054 0.3 0 0.3 0 100 56441 0.01
 2001 412103 0.3 0 0.3 0 100 14545 0.01
 2002 1.49427e+06 0.3 0 0.3 112323 100 235359 0.01
 2003 250295 0.3 0 0.3 0 100 269955 0.01
 2004 1.28982e+06 0.3 0 0.3 153150 100 359681 0.01
 2005 931140 0.3 0 0.3 637223 100 431902 0.01
 2006 785840 0.3 2.06254e+06 0.3 0 100 328805 0.01
 2007 897777 0.3 1.5e+06 0.3 255016 100 639364 0.01
 2008 1.04006e+06 0.3 0 0.3 313432 100 411747 0.01
 2009 184774 0.3 1.87456e+06 0.3 73983 100 362871 0.01
 2010 17550 0.3 323000 0.3 77613 100 311530 0.01
 2011 25797 0.3 250000 0.3 109348 100 167758 0.01
 2012 100020 0.3 174000 0.3 50772 100 66681 0.01
 2013 73551 0.3 83755 0.3 0 100 60226 0.01
 2014 82996 0.3 137374 0.3 0 100 58785 0.01
 2015 120727 0.3 0 0.3 0 100 57116 0.01
 2016 218422 0.3 501740 0.3 0 100 71774 0.01
 2017 84188 0.3 490994 0.3 0 100 51957 0.01
 2018 347160 0.3 745055 0.3 0 100 67425 0.01
 2019 605670 0.3 786931 0.3 0 100 138520 0.01
 2020 569463 0.3 1.00524e+06 0.3 0 100 160799 0.01
#Agrega datps simulados a la matrix de datos historicos
2021 459844 0.3 1.05978e+06 0.3  13365.4 100 224139 0.01
2022 672903 0.3 1.44501e+06 0.3  41843.4 100 194328 0.01
2023 472664 0.3 2.28515e+06 0.3  17462.3 100 232172 0.01
2024 369785 0.3 1.22952e+06 0.3  8732.34 100 239232 0.01
2025 277509 0.3 439644 0.3  12755.1 100 190683 0.01
2026 234574 0.3 1.07653e+06 0.3  10787.3 100 113611 0.01
2027 244032 0.3 632621 0.3  8370.15 100 134577 0.01
2028 473617 0.3 930717 0.3  10530.4 100 128500 0.01
2029 424084 0.3 1.00746e+06 0.3  20888.4 100 226434 0.01
2030 307187 0.3 742234 0.3  25222.4 100 194091 0.01
2031 421688 0.3 1.57837e+06 0.3  8422.55 100 137682 0.01
2032 237172 0.3 936904 0.3  15350.4 100 184792 0.01
2033 380448 0.3 1.20477e+06 0.3  9886.33 100 139051 0.01
2034 705549 0.3 1.55964e+06 0.3  19425.6 100 205917 0.01
2035 300249 0.3 1.20649e+06 0.3  20320.4 100 250555 0.01
2036 723802 0.3 1.30603e+06 0.3  20003.9 100 197835 0.01
2037 1.01275e+06 0.3 1.39199e+06 0.3  25498 100 277697 0.01
2038 813808 0.3 1.00282e+06 0.3  43105.1 100 274493 0.01
2039 983485 0.3 1.40431e+06 0.3  26214.8 100 241581 0.01
2040 715615 0.3 2.19387e+06 0.3  25465.7 100 274596 0.01
#Estructura de tallas flota historica
 2049 3886 1818 220 0
 3414 5807 1320 78 6
 6610 21477 7598 443 18
 8426 9211 6823 990 43
 6887 3254 452 18 0
 12296 6419 2220 160 0
 7411 6857 1552 103 0
 4631 9484 1437 45 0
 4979 8375 2432 187 0
 1757 7197 2081 304 28
 2640 9871 6630 845 29
 2853 8248 2811 544 28
 9327 6862 1437 325 21
 1074 6957 2912 550 80
 386 1923 765 74 3
 837 1052 279 15 0
 79 1258 665 96 0
 58 1070 414 62 0
 215 788 338 19 0
 64 415 750 111 1
 50 642 467 70 2
 360 1101 813 108 0
 961 852 1155 289 2
 1455 2454 1057 180 14
# flota simulados
 1850.98 6029.75 2770.64 586.414 164.533
 1804.75 4424.31 2493.27 752.841 154.913
 1499.34 5893.38 2550.89 957.919 281.515
 1882.81 4926.4 3314.11 944.574 344.919
 657.345 4792.96 2090.34 911.019 252.163
 819.172 1507.84 1881.95 536.557 227.253
 1109.38 3259.76 1041.11 863.721 239.633
 3928.72 2708.54 1303.01 267.343 215.252
 1382.19 9562.97 1113.01 348.393 69.4416
 655.985 3407.15 4108.8 315.411 96.0136
 1097.86 1784.04 1656.71 1333.75 99.6621
 911.847 4705.34 1347.43 837.695 656.634
 2761.96 2388.47 2027.16 374.257 225.878
 1628.84 7816.1 1117.81 614.164 110.112
 3333.07 5391.77 4173.14 384.189 204.903
 3909.16 5764.95 1464.9 709.63 63.2727
 1576.65 9697.81 2493.19 417.926 196.886
 2521.97 4581.69 5017.8 860.69 140.432
 2248.97 6026.91 1964.34 1435.41 239.652
 2221.28 6632.08 3271.8 721.139 513.458
#Reclas age historico
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 64039 11229 1356 42 3
 37059 41215 17493 426 0
 32502 3612 1249 107 0
 39372 43575 6143 20 0
 76970 14559 5579 1630 17
 77460 11636 5682 350 0
 34445 48477 2604 24 0
 25916 22072 6161 355 0
 40608 1121 713 42 0
 5903 138 13 0 0
 1444 404 103 3 0
 11206 1768 177 18 0
 2736 2054 253 0 0
 7268 1898 342 4 0
 2754 1066 1815 216 0
 38159 4065 2742 237 30
 3627 1877 425 37 0
 14333 12404 630 0 0
 21506 12007 6882 172 0
 25001 16279 2947 221 0
# Reclas age simulados
 27944.7 17282.3 5543.82 1146.11 321.166
 32697.2 15278.8 6027.37 1778.09 365.424
 23527.9 17573.5 5313.64 1949.16 572.102
 24691.6 12218.2 5722.78 1592.84 580.898
 9375.75 12959.4 3941.72 1677.85 463.829
 14555.7 5105.04 4459.16 1242.07 525.407
 13466.9 7465.34 1657.17 1342.38 371.957
 53597.6 6996.29 2345.27 469.937 377.891
 21775 28630.9 2327.95 711.811 141.7
 12058.3 11941.4 10082.7 756.201 229.907
 21577.8 6693.71 4355.7 3426.24 255.701
 11457.2 11166.3 2224.23 1350.27 1057.07
 36155.5 5912.76 3493.83 629.911 379.692
 20445.8 18529.6 1843.26 988.926 177.076
 32721.3 9904.19 5296.08 475.823 253.444
 61727.8 17300.9 3071.35 1453.37 129.424
 28851.1 33832.6 6089.58 997.308 469.25
