#SIMULACION DE DATOS
#Numero de anos actual
50
#Numero de edades
5
#Numero de tallas
26
#Datos observados
#Yr Reclas cv_reclas Pelaces cv_pelaces Mpdh cv_mpdh Desemb cv_desemb  
 1991 0 0.3 0 0.3 0 100 494567 0.01
 1992 0 0.3 0 0.3 0 100 514787 0.01
 1993 0 0.3 0 0.3 0 100 250237 0.01
 1994 0 0.3 0 0.3 0 100 358949 0.01
 1995 0 0.3 0 0.3 0 100 120608 0.01
 1996 0 0.3 0 0.3 0 100 361735 0.01
 1997 0 0.3 0 0.3 0 100 552515 0.01
 1998 0 0.3 0 0.3 0 100 73892 0.01
 1999 0 0.3 0 0.3 0 100 212993 0.01
 2000 252601 0.3 0 0.3 0 100 205616 0.01
 2001 567819 0.3 0 0.3 0 100 52469 0.01
 2002 844713 0.3 0 0.3 498337 100 317467 0.01
 2003 477998 0.3 0 0.3 0 100 293654 0.01
 2004 351125 0.3 0 0.3 5186 100 387597 0.01
 2005 339783 0.3 0 0.3 125008 100 252695 0.01
 2006 2.1784e+06 0.3 552880 0.3 0 100 516296 0.01
 2007 2.13404e+06 0.3 188675 0.3 168611 100 358380 0.01
 2008 4.81314e+06 0.3 0 0.3 109162 100 742168 0.01
 2009 1.55562e+06 0.3 991730 0.3 213762 100 942051 0.01
 2010 2.62356e+06 0.3 2.46772e+06 0.3 579715 100 627588 0.01
 2011 3.21686e+06 0.3 1.41603e+06 0.3 649985 100 828172 0.01
 2012 3.843e+06 0.3 1.21717e+06 0.3 157893 100 859565 0.01
 2013 1.13348e+06 0.3 2.29649e+06 0.3 87575 100 418607 0.01
 2014 3.07943e+06 0.3 1.80582e+06 0.3 83554 100 520667 0.01
 2015 1.97215e+06 0.3 0 0.3 0 100 417249 0.01
 2016 2.03268e+06 0.3 1.4828e+06 0.3 0 100 300574 0.01
 2017 2.025e+06 0.3 1.56532e+06 0.3 0 100 407403 0.01
 2018 2.42433e+06 0.3 1.57751e+06 0.3 0 100 355545 0.01
 2019 2.27542e+06 0.3 1.42118e+06 0.3 0 100 313619 0.01
 2020 1.05018e+06 0.3 867257 0.3 0 100 285485 0.01
#Agrega datps simulados a la matrix de datos historicos
2021 1.29857e+06 0.3 772284 0.3  1.39732e+06 0.3 296705 0.01
2022 2.35967e+06 0.3 1.19044e+06 0.3  7.00414e+06 0.3 313170 0.01
2023 1.75767e+06 0.3 2.04587e+06 0.3  3.74933e+06 0.3 372313 0.01
2024 1.56939e+06 0.3 1.29328e+06 0.3  2.03523e+06 0.3 379200 0.01
2025 1.10754e+06 0.3 409744 0.3  3.44748e+06 0.3 319904 0.01
2026 1.01942e+06 0.3 1.12771e+06 0.3  2.68376e+06 0.3 207101 0.01
2027 1.10131e+06 0.3 705002 0.3  2.19076e+06 0.3 262961 0.01
2028 2.82545e+06 0.3 1.63394e+06 0.3  2.54313e+06 0.3 260795 0.01
2029 2.09295e+06 0.3 1.23542e+06 0.3  7.1409e+06 0.3 434579 0.01
2030 1.37187e+06 0.3 787542 0.3  7.95915e+06 0.3 344285 0.01
2031 1.96991e+06 0.3 1.77551e+06 0.3  2.20949e+06 0.3 266299 0.01
2032 1.0321e+06 0.3 967222 0.3  4.31273e+06 0.3 345712 0.01
2033 2.13228e+06 0.3 1.87523e+06 0.3  2.58644e+06 0.3 284142 0.01
2034 3.52731e+06 0.3 1.98018e+06 0.3  6.29902e+06 0.3 413896 0.01
2035 1.67598e+06 0.3 1.85434e+06 0.3  6.29027e+06 0.3 456916 0.01
2036 4.31488e+06 0.3 2.18827e+06 0.3  6.17996e+06 0.3 379653 0.01
2037 5.16145e+06 0.3 1.74721e+06 0.3  8.9412e+06 0.3 532244 0.01
2038 4.27435e+06 0.3 1.3361e+06 0.3  1.35167e+07 0.3 497936 0.01
2039 5.02196e+06 0.3 1.78594e+06 0.3  7.94411e+06 0.3 504529 0.01
2040 3.54201e+06 0.3 2.67369e+06 0.3  7.70196e+06 0.3 557151 0.01
#Estructura de tallas flota historica
 8446 820 669 65 0
 8095 1470 364 71 0
 9664 169 160 7 0
 9276 648 75 1 0
 7033 2144 806 17 0
 9318 425 243 14 0
 5671 3108 964 239 18
 768 2599 5324 1120 189
 4902 3844 1066 170 17
 7925 1577 466 30 2
 8405 1276 313 6 1
 8084 986 794 134 2
 7335 1905 724 35 1
 4001 4547 1325 127 0
 4980 3083 1648 265 25
 9179 499 305 17 0
 2467 6533 926 74 0
 9418 223 340 19 0
 7078 2320 357 246 0
 2470 1325 881 99 1
 73523 11246 5091 658 53
 55704 10787 5627 680 18
 3612 9459 8367 672 6
 25354 3027 3973 1248 31
 22418 5468 1958 1147 67
 2042 4452 6307 1192 250
 14884 1281 3589 1644 89
 7486 7149 2901 1353 108
 1244 3178 4902 532 40
 1301 1419 3638 1137 44
# flota simulados
 27197 2434.06 965.861 979.204 257.492
 20429.7 8059.82 533.033 207.535 210.19
 18940 9038.76 2661.51 172.83 67.2256
 21589.8 7432.48 2634.44 761.412 49.3948
 9115.82 9034.12 2306.9 802.523 231.716
 11683.1 2751.6 2014.02 504.598 175.361
 14122.5 6004.89 1053.9 757.344 189.561
 26889 2477.17 775.482 133.506 95.8409
 15104.9 16090.9 1121.04 344.905 59.3236
 9749.95 6589 5255.49 359.594 110.528
 15671.6 3495.55 1763.47 1381.1 94.4068
 12543.8 9555.05 1595.17 790.332 618.374
 25285.4 2883.64 1614.11 264.294 130.811
 18238.5 13173.9 1126.1 619.099 101.274
 30976.8 6994.35 3748.77 314.509 172.738
 30861.3 6442.56 1080.02 568.156 47.6191
 18774.2 17152.2 2710.59 446.611 234.728
 28637.8 7344.21 5044.78 783.19 128.921
 28619.5 10927.2 2110.03 1424.01 220.867
 29126.8 12340.1 3555.25 674.599 454.847
#Reclas age historico
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 173310 1501 63 2 0
 143810 7389 2527 124 0
 31161 6392 90 0 0
 64809 3177 826 0 0
 38432 1846 7187 1097 0
 436610 48530 30845 0 0
 16545 83681 22563 662 0
 441390 24608 77486 2264 0
 436610 48530 30845 0 0
 876816 77707 12084 1453 52
 10760 111 1 0 0
 1.73359e+06 34460 6886 2222 94
 26432 55039 5009 589 0
 743107 7516 17490 381 0
 435439 68667 4845 7295 94
 119518 64215 23599 4175 170
 215076 22804 20376 1707 301
 471029 44874 7382 1414 60
 51464 68920 23801 3352 30
 16027 11305 22607 357 0
# Reclas age simulados
 102996 7314.13 2872.25 2911.92 765.776
 100188 31424.2 2056.99 800.885 811.189
 81427.6 30866.4 8995.28 584.125 227.223
 90280.6 24681.5 8658.23 2502.42 162.35
 34159.1 26858.8 6787.41 2361.18 681.806
 55378.8 10367.2 7510.53 1881.71 653.993
 48859.9 16470.5 2860.54 2055.61 514.551
 209908 15409.5 4775.46 822.146 590.244
 81035.2 68668.8 4735.4 1456.93 250.61
 47576.4 25561.2 20179.6 1380.74 424.43
 84879.4 15060.9 7520.74 5890.09 402.653
 42086 25407.7 4197.37 2079.59 1627.23
 141489 12838.7 7113.38 1164.75 576.527
 76594 43936.6 3716.99 2043.51 334.308
 129112 23150.3 12280 1030.25 565.887
 250744 41717.3 6923.17 3642.05 305.275
 114524 83287 13028.6 2146.68 1128.33
 183827 37535.3 25522.4 3962.34 652.289
 200326 60922.1 11645.4 7859.29 1219.08
 197349 66587.6 18990.6 3603.44 2429.8
#Pelaces age historico
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 10717 10018 461 0 0
 0 0 0 0 0
 439883 259752 142181 150047 0
